ISTANBUL	istanbul	ISTANBUL
Reuters	reuter	Reuters
-	-	-
Turkish	turkish	Turkish
police	polic	police
summoned	summon	summoned
a	a	a
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
FBI	fbi	FBI
official	offici	official
on	on	on
Wednesday	wednesday	Wednesday
over	over	over
statements	statement	statement
made	made	made
in	in	in
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
court	court	court
by	by	by
a	a	a
former	former	former
Turkish	turkish	Turkish
police	polic	police
investigator	investig	investigator
who	who	who
fled	fled	fled
the	the	the
country	countri	country
last	last	last
year	year	year
,	,	,
the	the	the
state	state	state
-run	-run	-run
Anadolu	anadolu	Anadolu
Agency	agenc	Agency
said	said	said
.	.	.
Anadolu	anadolu	Anadolu
said	said	said
the	the	the
FBI	fbi	FBI
official	offici	official
was	was	wa
summoned	summon	summoned
following	follow	following
testimony	testimoni	testimony
given	given	given
by	by	by
Huseyin	huseyin	Huseyin
Korkmaz	korkmaz	Korkmaz
in	in	in
the	the	the
trial	trial	trial
of	of	of
a	a	a
former	former	former
executive	execut	executive
at	at	at
Turkish	turkish	Turkish
state	state	state
-run	-run	-run
bank	bank	bank
Halkbank	halkbank	Halkbank
,	,	,
who	who	who
is	is	is
charged	charg	charged
with	with	with
taking	take	taking
part	part	part
in	in	in
a	a	a
scheme	scheme	scheme
to	to	to
help	help	help
Iran	iran	Iran
evade	evad	evade
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
.	.	.
State	state	State
Department	depart	Department
spokeswoman	spokeswoman	spokeswoman
Heather	heather	Heather
Nauert	nauert	Nauert
confirmed	confirm	confirmed
that	that	that
an	an	an
FBI	fbi	FBI
attache	attach	attache
at	at	at
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
had	had	had
been	been	been
brought	brought	brought
in	in	in
to	to	to
the	the	the
Turkish	turkish	Turkish
ministry	ministri	ministry
.	.	.
She	she	She
provided	provid	provided
no	no	no
details	detail	detail
.	.	.
The	the	The
former	former	former
bank	bank	bank
executive	execut	executive
,	,	,
Mehmet	mehmet	Mehmet
Hakan	hakan	Hakan
Atilla	atilla	Atilla
,	,	,
has	has	ha
pleaded	plead	pleaded
not	not	not
guilty	guilti	guilty
.	.	.
Halkbank	halkbank	Halkbank
has	has	ha
denied	deni	denied
involvement	involv	involvement
with	with	with
any	ani	any
illegal	illeg	illegal
transactions	transact	transaction
.	.	.
Korkmaz	korkmaz	Korkmaz
told	told	told
jurors	juror	juror
in	in	in
a	a	a
New	new	New
York	york	York
court	court	court
on	on	on
Monday	monday	Monday
that	that	that
he	he	he
fled	fled	fled
Turkey	turkey	Turkey
in	in	in
2016	2016	2016
out	out	out
of	of	of
fear	fear	fear
of	of	of
retaliation	retali	retaliation
from	from	from
the	the	the
government	govern	government
after	after	after
leading	lead	leading
a	a	a
corruption	corrupt	corruption
investigation	investig	investigation
involving	involv	involving
high	high	high
-ranking	-rank	-ranking
officials	offici	official
.	.	.
He	he	He
said	said	said
he	he	he
took	took	took
his	his	his
evidence	evid	evidence
with	with	with
him	him	him
.	.	.
Korkmaz	korkmaz	Korkmaz
said	said	said
he	he	he
had	had	had
received	receiv	received
50	50	50
,	,	,
000	000	000
from	from	from
the	the	the
FBI	fbi	FBI
and	and	and
financial	financi	financial
assistance	assist	assistance
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
for	for	for
his	his	his
rental	rental	rental
payments	payment	payment
.	.	.
The	the	The
FBI	fbi	FBI
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Turkish	turkish	Turkish
police	polic	police
said	said	said
they	they	they
could	could	could
not	not	not
immediately	immedi	immediately
comment	comment	comment
on	on	on
the	the	the
report	report	report
that	that	that
they	they	they
had	had	had
summoned	summon	summoned
an	an	an
official	offici	official
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
agency	agenc	agency
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
in	in	in
Ankara	ankara	Ankara
said	said	said
the	the	the
embassy	embassi	embassy
was	was	wa
aware	awar	aware
of	of	of
the	the	the
report	report	report
but	but	but
had	had	had
no	no	no
immediate	immedi	immediate
comment	comment	comment
.	.	.
Already	alreadi	Already
strained	strain	strained
ties	tie	tie
between	between	between
NATO	nato	NATO
allies	alli	ally
Ankara	ankara	Ankara
and	and	and
Washington	washington	Washington
have	have	have
deteriorated	deterior	deteriorated
further	further	further
over	over	over
the	the	the
court	court	court
case	case	case
,	,	,
in	in	in
which	which	which
Turkish	turkish	Turkish
-Iranian	-iranian	-Iranian
gold	gold	gold
trader	trader	trader
Reza	reza	Reza
Zarrab	zarrab	Zarrab
,	,	,
who	who	who
is	is	is
cooperating	cooper	cooperating
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
,	,	,
has	has	ha
detailed	detail	detailed
a	a	a
scheme	scheme	scheme
to	to	to
evade	evad	evade
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
.	.	.
Korkmaz	korkmaz	Korkmaz
is	is	is
testifying	testifi	testifying
for	for	for
the	the	the
prosecution	prosecut	prosecution
at	at	at
the	the	the
trial	trial	trial
.	.	.
He	he	He
told	told	told
the	the	the
court	court	court
this	this	this
week	week	week
that	that	that
he	he	he
began	began	began
investigating	investig	investigating
Zarrab	zarrab	Zarrab
in	in	in
2012	2012	2012
.	.	.
Zarrab	zarrab	Zarrab
has	has	ha
implicated	implic	implicated
top	top	top
Turkish	turkish	Turkish
politicians	politician	politician
,	,	,
including	includ	including
Erdogan	erdogan	Erdogan
.	.	.
Zarrab	zarrab	Zarrab
said	said	said
on	on	on
Thursday	thursday	Thursday
that	that	that
when	when	when
Erdogan	erdogan	Erdogan
was	was	wa
prime	prime	prime
minister	minist	minister
he	he	he
authorised	authoris	authorised
a	a	a
transaction	transact	transaction
to	to	to
help	help	help
Iran	iran	Iran
evade	evad	evade
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
.	.	.
Although	although	Although
he	he	he
has	has	ha
not	not	not
yet	yet	yet
responded	respond	responded
to	to	to
the	the	the
courtroom	courtroom	courtroom
claims	claim	claim
,	,	,
Erdogan	erdogan	Erdogan
has	has	ha
dismissed	dismiss	dismissed
the	the	the
case	case	case
as	as	a
a	a	a
politically	polit	politically
motivated	motiv	motivated
attempt	attempt	attempt
,	,	,
led	led	led
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
-based	-base	-based
cleric	cleric	cleric
Fethullah	fethullah	Fethullah
Gulen	gulen	Gulen
,	,	,
to	to	to
bring	bring	bring
down	down	down
the	the	the
Turkish	turkish	Turkish
government	govern	government
.	.	.
The	the	The
government	govern	government
blames	blame	blame
Gulen	gulen	Gulen
s	s	s
network	network	network
for	for	for
last	last	last
year	year	year
s	s	s
failed	fail	failed
military	militari	military
coup	coup	coup
in	in	in
Turkey	turkey	Turkey
.	.	.
Gulen	gulen	Gulen
has	has	ha
denied	deni	denied
any	ani	any
involvement	involv	involvement
.	.	.
