JERUSALEM	jerusalem	JERUSALEM
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
informed	inform	informed
Palestinian	palestinian	Palestinian
President	presid	President
Mahmolud	mahmolud	Mahmolud
Abbas	abba	Abbas
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
he	he	he
intends	intend	intends
to	to	to
move	move	move
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
to	to	to
Jerusalem	jerusalem	Jerusalem
,	,	,
Abbas	abba	Abbas
s	s	s
spokesman	spokesman	spokesman
said	said	said
.	.	.

The	the	The
statement	statement	statement
did	did	did
not	not	not
say	say	say
whether	whether	whether
Trump	trump	Trump
elaborated	elabor	elaborated
on	on	on
the	the	the
timing	time	timing
of	of	of
such	such	such
a	a	a
move	move	move
.	.	.

President	presid	President
Mahmoud	mahmoud	Mahmoud
Abbas	abba	Abbas
received	receiv	received
a	a	a
telephone	telephon	telephone
call	call	call
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
in	in	in
which	which	which
he	he	he
notified	notifi	notified
the	the	the
President	presid	President
Abbas	abba	Abbas
of	of	of
his	his	his
intention	intent	intention
to	to	to
move	move	move
the	the	the
American	american	American
embassy	embassi	embassy
from	from	from
Tel	tel	Tel
Aviv	aviv	Aviv
to	to	to
Jerusalem	jerusalem	Jerusalem
,	,	,
spokesman	spokesman	spokesman
Nabil	nabil	Nabil
Abu	abu	Abu
Rdainah	rdainah	Rdainah
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
statement	statement	statement
did	did	did
not	not	not
say	say	say
whether	whether	whether
Trump	trump	Trump
elaborated	elabor	elaborated
on	on	on
the	the	the
timing	time	timing
of	of	of
such	such	such
a	a	a
move	move	move
.	.	.

President	presid	President
Abbas	abba	Abbas
warned	warn	warned
of	of	of
the	the	the
dangerous	danger	dangerous
consequences	consequ	consequence
such	such	such
a	a	a
decision	decis	decision
would	would	would
have	have	have
to	to	to
the	the	the
peace	peac	peace
process	process	process
and	and	and
to	to	to
the	the	the
peace	peac	peace
,	,	,
security	secur	security
and	and	and
stability	stabil	stability
of	of	of
the	the	the
region	region	region
and	and	and
of	of	of
the	the	the
world	world	world
,	,	,
Abu	abu	Abu
Rdainah	rdainah	Rdainah
said	said	said
.	.	.

