Editor	editor	Editor
s	s	s
note	note	note
please	pleas	please
be	be	be
advised	advis	advised
that	that	that
paragraphs	paragraph	paragraph
4	4	4
-6	-6	-6
contain	contain	contain
language	languag	language
that	that	that
may	may	may
be	be	be
offensive	offens	offensive
to	to	to
some	some	some
readers	reader	reader
By	by	By
Bernie	berni	Bernie
Woodall	woodal	Woodall
FORT	fort	FORT
LAUDERDALE	lauderdal	LAUDERDALE
,	,	,
Fla	fla	Fla
.	.	.
Reuters	reuter	Reuters
-	-	-
A	a	A
Florida	florida	Florida
state	state	state
senator	senat	senator
resigned	resign	resigned
on	on	on
Friday	friday	Friday
after	after	after
coming	come	coming
under	under	under
pressure	pressur	pressure
for	for	for
yelling	yell	yelling
obscenities	obscen	obscenity
and	and	and
racial	racial	racial
slurs	slur	slur
inside	insid	inside
a	a	a
lounge	loung	lounge
frequented	frequent	frequented
by	by	by
lawmakers	lawmak	lawmaker
at	at	at
the	the	the
state	state	state
capital	capit	capital
in	in	in
Tallahassee	tallahasse	Tallahassee
.	.	.
Senator	senat	Senator
Frank	frank	Frank
Artiles	artil	Artiles
,	,	,
a	a	a
Republican	republican	Republican
from	from	from
Miami	miami	Miami
-Dade	-dade	-Dade
County	counti	County
,	,	,
made	made	made
the	the	the
comments	comment	comment
on	on	on
Monday	monday	Monday
night	night	night
to	to	to
two	two	two
Democratic	democrat	Democratic
senators	senat	senator
,	,	,
both	both	both
of	of	of
whom	whom	whom
are	are	are
black	black	black
,	,	,
at	at	at
the	the	the
members	member	member
-only	-on	-only
Governor	governor	Governor
s	s	s
Club	club	Club
,	,	,
the	the	the
Miami	miami	Miami
Herald	herald	Herald
reported	report	reported
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
I	i	I
am	am	am
responsible	respons	responsible
and	and	and
I	i	I
am	am	am
accountable	account	accountable
and	and	and
effective	effect	effective
immediately	immedi	immediately
,	,	,
I	i	I
am	am	am
resigning	resign	resigning
from	from	from
the	the	the
Florida	florida	Florida
State	state	State
Senate	senat	Senate
,	,	,
Artiles	artil	Artiles
wrote	wrote	wrote
in	in	in
a	a	a
resignation	resign	resignation
letter	letter	letter
delivered	deliv	delivered
to	to	to
the	the	the
state	state	state
Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
Joe	joe	Joe
Negron	negron	Negron
on	on	on
Friday	friday	Friday
.	.	.
Artiles	artil	Artiles
yelled	yell	yelled
at	at	at
Democratic	democrat	Democratic
Senator	senat	Senator
Audrey	audrey	Audrey
Gibson	gibson	Gibson
,	,	,
who	who	who
earlier	earlier	earlier
that	that	that
day	day	day
had	had	had
questioned	question	questioned
some	some	some
bills	bill	bill
Artiles	artil	Artiles
sponsored	sponsor	sponsored
,	,	,
according	accord	according
to	to	to
the	the	the
Miami	miami	Miami
Herald	herald	Herald
.	.	.
He	he	He
called	call	called
the	the	the
Jacksonville	jacksonvill	Jacksonville
senator	senat	senator
a	a	a
bitch	bitch	bitch
and	and	and
a	a	a
girl	girl	girl
.	.	.
Artiles	artil	Artiles
also	also	also
called	call	called
Democrat	democrat	Democrat
Perry	perri	Perry
Thurston	thurston	Thurston
,	,	,
a	a	a
black	black	black
senator	senat	senator
from	from	from
Fort	fort	Fort
Lauderdale	lauderdal	Lauderdale
,	,	,
an	an	an
asshole	asshol	asshole
.	.	.
He	he	He
also	also	also
said	said	said
Negron	negron	Negron
had	had	had
risen	risen	risen
to	to	to
majority	major	majority
leader	leader	leader
because	becaus	because
of	of	of
the	the	the
support	support	support
of	of	of
six	six	six
Republican	republican	Republican
senators	senat	senator
he	he	he
called	call	called
niggas	nigga	nigga
,	,	,
the	the	the
newspaper	newspap	newspaper
reported	report	reported
.	.	.
Artiles	artil	Artiles
on	on	on
Wednesday	wednesday	Wednesday
apologized	apolog	apologized
on	on	on
the	the	the
state	state	state
Senate	senat	Senate
floor	floor	floor
.	.	.
He	he	He
did	did	did
not	not	not
directly	direct	directly
mention	mention	mention
the	the	the
comments	comment	comment
he	he	he
made	made	made
on	on	on
Monday	monday	Monday
night	night	night
,	,	,
but	but	but
admitted	admit	admitted
he	he	he
made	made	made
offensive	offens	offensive
comments	comment	comment
.	.	.
Thurston	thurston	Thurston
on	on	on
Thursday	thursday	Thursday
filed	file	filed
a	a	a
formal	formal	formal
complaint	complaint	complaint
to	to	to
have	have	have
Artiles	artil	Artiles
expelled	expel	expelled
from	from	from
the	the	the
legislative	legisl	legislative
body	bodi	body
.	.	.
He	he	He
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
on	on	on
Friday	friday	Friday
.	.	.
Gibson	gibson	Gibson
issued	issu	issued
a	a	a
statement	statement	statement
on	on	on
Friday	friday	Friday
,	,	,
saying	say	saying
,	,	,
This	this	This
has	has	ha
been	been	been
an	an	an
ordeal	ordeal	ordeal
that	that	that
no	no	no
one	one	one
should	should	should
have	have	have
to	to	to
endure	endur	endure
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
Negron	negron	Negron
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
he	he	he
has	has	ha
been	been	been
informed	inform	informed
of	of	of
Artiles	artil	Artiles
comments	comment	comment
by	by	by
the	the	the
senate	senat	senate
s	s	s
minority	minor	minority
leader	leader	leader
,	,	,
Democrat	democrat	Democrat
Oscar	oscar	Oscar
Braynon	braynon	Braynon
.	.	.
Racial	racial	Racial
slurs	slur	slur
and	and	and
profane	profan	profane
,	,	,
sexist	sexist	sexist
insults	insult	insult
have	have	have
no	no	no
place	place	place
in	in	in
conversation	convers	conversation
between	between	between
senators	senat	senator
and	and	and
will	will	will
not	not	not
be	be	be
tolerated	toler	tolerated
,	,	,
Negron	negron	Negron
s	s	s
statement	statement	statement
said	said	said
.	.	.
Public	public	Public
protests	protest	protest
followed	follow	followed
,	,	,
including	includ	including
one	one	one
at	at	at
Artiles	artil	Artiles
Miami	miami	Miami
-area	-area	-area
headquarters	headquart	headquarters
where	where	where
signs	sign	sign
were	were	were
posted	post	posted
on	on	on
his	his	his
office	offic	office
windows	window	window
demanding	demand	demanding
that	that	that
he	he	he
resign	resign	resign
.	.	.
Artiles	artil	Artiles
,	,	,
a	a	a
former	former	former
Marine	marin	Marine
,	,	,
was	was	wa
elected	elect	elected
in	in	in
November	novemb	November
to	to	to
the	the	the
senate	senat	senate
after	after	after
serving	serv	serving
six	six	six
years	year	year
in	in	in
the	the	the
Florida	florida	Florida
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
My	my	My
actions	action	action
and	and	and
my	my	my
presence	presenc	presence
in	in	in
government	govern	government
is	is	is
now	now	now
a	a	a
distraction	distract	distraction
to	to	to
my	my	my
colleagues	colleagu	colleague
,	,	,
the	the	the
legislative	legisl	legislative
process	process	process
and	and	and
the	the	the
citizens	citizen	citizen
of	of	of
our	our	our
great	great	great
state	state	state
,	,	,
he	he	he
said	said	said
in	in	in
his	his	his
resignation	resign	resignation
letter	letter	letter
.	.	.
