CHICAGO	chicago	CHICAGO
Reuters	reuter	Reuters
-	-	-
Court	court	Court
-ordered	-order	-ordered
mediation	mediat	mediation
aimed	aim	aimed
at	at	at
ending	end	ending
a	a	a
funding	fund	funding
dispute	disput	dispute
between	between	between
Minnesota	minnesota	Minnesota
s	s	s
Democratic	democrat	Democratic
governor	governor	governor
and	and	and
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
legislature	legislatur	legislature
ended	end	ended
on	on	on
Friday	friday	Friday
with	with	with
the	the	the
mediator	mediat	mediator
declaring	declar	declaring
an	an	an
impasse	impass	impasse
.	.	.
The	the	The
Minnesota	minnesota	Minnesota
Supreme	suprem	Supreme
Court	court	Court
earlier	earlier	earlier
this	this	this
month	month	month
ordered	order	ordered
the	the	the
two	two	two
branches	branch	branch
of	of	of
government	govern	government
to	to	to
use	use	use
a	a	a
mediator	mediat	mediator
to	to	to
resolve	resolv	resolve
a	a	a
dispute	disput	dispute
over	over	over
Governor	governor	Governor
Mark	mark	Mark
Dayton	dayton	Dayton
s	s	s
veto	veto	veto
of	of	of
funding	fund	funding
for	for	for
the	the	the
legislature	legislatur	legislature
in	in	in
the	the	the
fiscal	fiscal	fiscal
2018	2018	2018
-19	-19	-19
biennial	biennial	biennial
budget	budget	budget
.	.	.
Richard	richard	Richard
Solum	solum	Solum
,	,	,
a	a	a
retired	retir	retired
Minnesota	minnesota	Minnesota
judge	judg	judge
who	who	who
served	serv	served
as	as	a
the	the	the
mediator	mediat	mediator
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
after	after	after
a	a	a
day	day	day
and	and	and
a	a	a
half	half	half
of	of	of
talks	talk	talk
he	he	he
concluded	conclud	concluded
the	the	the
two	two	two
sides	side	side
were	were	were
at	at	at
an	an	an
impasse	impass	impasse
.	.	.
Dayton	dayton	Dayton
s	s	s
veto	veto	veto
in	in	in
May	may	May
touched	touch	touched
off	off	off
a	a	a
legal	legal	legal
battle	battl	battle
with	with	with
the	the	the
legislature	legislatur	legislature
,	,	,
which	which	which
claimed	claim	claimed
the	the	the
removal	remov	removal
of	of	of
nearly	near	nearly
130	130	130
million	million	million
in	in	in
funding	fund	funding
from	from	from
the	the	the
budget	budget	budget
was	was	wa
unconstitutional	unconstitut	unconstitutional
.	.	.
While	while	While
a	a	a
Ramsey	ramsey	Ramsey
County	counti	County
District	district	District
Court	court	Court
judge	judg	judge
sided	side	sided
with	with	with
the	the	the
legislature	legislatur	legislature
in	in	in
July	juli	July
,	,	,
the	the	the
state	state	state
Supreme	suprem	Supreme
Court	court	Court
on	on	on
Sept	sept	Sept
.	.	.
8	8	8
determined	determin	determined
that	that	that
the	the	the
governor	governor	governor
s	s	s
action	action	action
was	was	wa
constitutional	constitut	constitutional
.	.	.
However	howev	However
,	,	,
the	the	the
high	high	high
court	court	court
raised	rais	raised
concerns	concern	concern
over	over	over
the	the	the
ability	abil	ability
of	of	of
the	the	the
legislature	legislatur	legislature
to	to	to
continue	continu	continue
to	to	to
exist	exist	exist
without	without	without
funding	fund	funding
.	.	.
Dayton	dayton	Dayton
on	on	on
Friday	friday	Friday
reiterated	reiter	reiterated
his	his	his
stance	stanc	stance
that	that	that
his	his	his
veto	veto	veto
was	was	wa
aimed	aim	aimed
at	at	at
pressuring	pressur	pressuring
Republicans	republican	Republicans
to	to	to
revise	revis	revise
tax	tax	tax
measures	measur	measure
,	,	,
which	which	which
he	he	he
said	said	said
will	will	will
seriously	serious	seriously
jeopardize	jeopard	jeopardize
Minnesota	minnesota	Minnesota
government	govern	government
s	s	s
future	futur	future
financial	financi	financial
stability	stabil	stability
.	.	.
He	he	He
added	ad	added
that	that	that
mediation	mediat	mediation
revealed	reveal	revealed
the	the	the
legislature	legislatur	legislature
has	has	ha
money	money	money
available	avail	available
to	to	to
operate	oper	operate
until	until	until
its	it	it
new	new	new
session	session	session
begins	begin	begin
in	in	in
February	februari	February
.	.	.
They	they	They
owe	owe	owe
the	the	the
Minnesota	minnesota	Minnesota
Supreme	suprem	Supreme
Court	court	Court
and	and	and
the	the	the
people	peopl	people
of	of	of
Minnesota	minnesota	Minnesota
an	an	an
honest	honest	honest
explanation	explan	explanation
of	of	of
why	whi	why
they	they	they
have	have	have
dragged	drag	dragged
all	all	all
of	of	of
us	us	u
into	into	into
their	their	their
costly	cost	costly
theatrics	theatric	theatrics
over	over	over
the	the	the
past	past	past
four	four	four
months	month	month
,	,	,
Dayton	dayton	Dayton
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Republican	republican	Republican
legislative	legisl	legislative
leaders	leader	leader
issued	issu	issued
a	a	a
joint	joint	joint
statement	statement	statement
expressing	express	expressing
disappointment	disappoint	disappointment
that	that	that
Governor	governor	Governor
Dayton	dayton	Dayton
walked	walk	walked
out	out	out
and	and	and
abruptly	abrupt	abruptly
ended	end	ended
mediation	mediat	mediation
today	today	today
.	.	.
The	the	The
demise	demis	demise
of	of	of
mediation	mediat	mediation
returns	return	return
the	the	the
matter	matter	matter
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
for	for	for
a	a	a
final	final	final
ruling	rule	ruling
,	,	,
according	accord	according
to	to	to
Susan	susan	Susan
Closmore	closmor	Closmore
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
for	for	for
House	hous	House
Republicans	republican	Republicans
.	.	.
Dayton	dayton	Dayton
s	s	s
veto	veto	veto
raised	rais	raised
credit	credit	credit
concerns	concern	concern
for	for	for
the	the	the
state	state	state
by	by	by
leaving	leav	leaving
80	80	80
.	.	.
1	1	1
million	million	million
of	of	of
certificates	certif	certificate
of	of	of
participation	particip	participation
issued	issu	issued
in	in	in
2014	2014	2014
for	for	for
a	a	a
Senate	senat	Senate
office	offic	office
facility	facil	facility
without	without	without
an	an	an
appropriation	appropri	appropriation
for	for	for
rental	rental	rental
and	and	and
debt	debt	debt
payments	payment	payment
next	next	next
due	due	due
in	in	in
November	novemb	November
and	and	and
December	decemb	December
.	.	.
After	after	After
the	the	the
district	district	district
court	court	court
judge	judg	judge
ordered	order	ordered
the	the	the
state	state	state
to	to	to
temporarily	temporarili	temporarily
fund	fund	fund
the	the	the
legislature	legislatur	legislature
until	until	until
Oct	oct	Oct
.	.	.
1	1	1
,	,	,
S	s	S
P	p	P
on	on	on
June	june	June
30	30	30
affirmed	affirm	affirmed
Minnesota	minnesota	Minnesota
s	s	s
AA	aa	AA
-plus	-plus	-plus
rating	rate	rating
and	and	and
removed	remov	removed
it	it	it
from	from	from
a	a	a
watch	watch	watch
list	list	list
for	for	for
a	a	a
potential	potenti	potential
downgrade	downgrad	downgrade
.	.	.
