PARIS	pari	PARIS
Reuters	reuter	Reuters
-	-	-
Major	major	Major
Western	western	Western
powers	power	power
appeared	appear	appeared
ready	readi	ready
for	for	for
a	a	a
showdown	showdown	showdown
with	with	with
Russia	russia	Russia
at	at	at
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
after	after	after
demanding	demand	demanding
on	on	on
Wednesday	wednesday	Wednesday
the	the	the
renewal	renew	renewal
of	of	of
he	he	he
mandate	mandat	mandate
of	of	of
an	an	an
international	intern	international
inquiry	inquiri	inquiry
into	into	into
chemical	chemic	chemical
weapons	weapon	weapon
attacks	attack	attack
in	in	in
Syria	syria	Syria
.	.	.
Russian	russian	Russian
Deputy	deputi	Deputy
Foreign	foreign	Foreign
Minister	minist	Minister
Sergei	sergei	Sergei
Ryabkov	ryabkov	Ryabkov
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
Moscow	moscow	Moscow
opposed	oppos	opposed
a	a	a
draft	draft	draft
U	u	U
.	.	.
N	n	N
.	.	.
resolution	resolut	resolution
to	to	to
extend	extend	extend
the	the	the
mandate	mandat	mandate
of	of	of
the	the	the
investigation	investig	investigation
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
the	the	the
Organization	organ	Organization
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
OPCW	opcw	OPCW
into	into	into
chemical	chemic	chemical
weapons	weapon	weapon
attacks	attack	attack
in	in	in
Syria	syria	Syria
.	.	.
Ryabkov	ryabkov	Ryabkov
s	s	s
comments	comment	comment
came	came	came
hours	hour	hour
after	after	after
Russia	russia	Russia
rejected	reject	rejected
a	a	a
report	report	report
by	by	by
the	the	the
international	intern	international
inquiry	inquiri	inquiry
blaming	blame	blaming
the	the	the
Syrian	syrian	Syrian
government	govern	government
for	for	for
a	a	a
deadly	dead	deadly
toxic	toxic	toxic
gas	gas	gas
attack	attack	attack
on	on	on
April	april	April
4	4	4
.	.	.
In	in	In
a	a	a
joint	joint	joint
statement	statement	statement
by	by	by
the	the	the
foreign	foreign	foreign
ministers	minist	minister
of	of	of
Britain	britain	Britain
,	,	,
France	franc	France
,	,	,
Germany	germani	Germany
and	and	and
the	the	the
United	unit	United
States	state	States
,	,	,
the	the	the
four	four	four
countries	countri	country
said	said	said
they	they	they
had	had	had
full	full	full
confidence	confid	confidence
in	in	in
the	the	the
findings	find	finding
and	and	and
called	call	called
on	on	on
the	the	the
Syrian	syrian	Syrian
regime	regim	regime
to	to	to
end	end	end
all	all	all
use	use	use
of	of	of
poison	poison	poison
gas	gas	gas
and	and	and
finally	final	finally
declare	declar	declare
to	to	to
the	the	the
OPCW	opcw	OPCW
all	all	all
the	the	the
chemical	chemic	chemical
weapons	weapon	weapon
it	it	it
possesses	possess	posse
.	.	.
We	we	We
therefore	therefor	therefore
urge	urg	urge
the	the	the
United	unit	United
Nations	nation	Nations
Security	secur	Security
Council	council	Council
to	to	to
maintain	maintain	maintain
the	the	the
investigative	investig	investigative
capacity	capac	capacity
of	of	of
the	the	the
inquiry	inquiri	inquiry
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
After	after	After
such	such	such
a	a	a
report	report	report
,	,	,
the	the	the
Security	secur	Security
Council	council	Council
and	and	and
all	all	all
its	it	it
members	member	member
have	have	have
a	a	a
common	common	common
responsibility	respons	responsibility
to	to	to
protect	protect	protect
the	the	the
international	intern	international
non	non	non
-proliferation	-prolifer	-proliferation
regime	regim	regime
and	and	and
to	to	to
respect	respect	respect
their	their	their
previous	previous	previous
commitments	commit	commitment
,	,	,
the	the	the
joint	joint	joint
statement	statement	statement
said	said	said
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
denied	deni	denied
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
.	.	.
The	the	The
April	april	April
4	4	4
attack	attack	attack
prompted	prompt	prompted
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
missile	missil	missile
strike	strike	strike
just	just	just
days	day	day
later	later	later
against	against	against
a	a	a
Syrian	syrian	Syrian
air	air	air
base	base	base
.	.	.
France	franc	France
has	has	ha
warned	warn	warned
that	that	that
any	ani	any
further	further	further
chemicals	chemic	chemical
attacks	attack	attack
would	would	would
be	be	be
met	met	met
with	with	with
a	a	a
military	militari	military
response	respons	response
.	.	.
Russia	russia	Russia
,	,	,
a	a	a
key	key	key
backer	backer	backer
of	of	of
the	the	the
Syrian	syrian	Syrian
government	govern	government
,	,	,
last	last	last
month	month	month
cast	cast	cast
a	a	a
veto	veto	veto
at	at	at
the	the	the
United	unit	United
Nations	nation	Nations
Security	secur	Security
Council	council	Council
against	against	against
renewing	renew	renewing
the	the	the
investigation	investig	investigation
s	s	s
mandate	mandat	mandate
.	.	.
The	the	The
inquiry	inquiri	inquiry
had	had	had
previously	previous	previously
found	found	found
that	that	that
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
were	were	were
responsible	respons	responsible
for	for	for
three	three	three
chlorine	chlorin	chlorine
gas	gas	gas
attacks	attack	attack
in	in	in
2014	2014	2014
and	and	and
2015	2015	2015
and	and	and
that	that	that
Islamic	islam	Islamic
State	state	State
militants	milit	militant
had	had	had
used	use	used
mustard	mustard	mustard
gas	gas	gas
.	.	.
Syria	syria	Syria
agreed	agre	agreed
to	to	to
destroy	destroy	destroy
its	it	it
chemical	chemic	chemical
weapons	weapon	weapon
and	and	and
comply	compli	comply
with	with	with
the	the	the
OPCW	opcw	OPCW
in	in	in
2013	2013	2013
under	under	under
a	a	a
deal	deal	deal
brokered	broker	brokered
by	by	by
Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
,	,	,
after	after	after
a	a	a
nerve	nerv	nerve
gas	gas	gas
attack	attack	attack
killed	kill	killed
hundreds	hundr	hundred
of	of	of
people	peopl	people
in	in	in
the	the	the
Damascus	damascus	Damascus
suburbs	suburb	suburb
.	.	.
Western	western	Western
countries	countri	country
blamed	blame	blamed
that	that	that
attack	attack	attack
on	on	on
the	the	the
Syrian	syrian	Syrian
government	govern	government
,	,	,
which	which	which
denied	deni	denied
it	it	it
.	.	.
