AMSTERDAM	amsterdam	AMSTERDAM
UNITED	unit	UNITED
NATIONS	nation	NATIONS
Reuters	reuter	Reuters
-	-	-
An	an	An
inquiry	inquiri	inquiry
by	by	by
the	the	the
global	global	global
chemical	chemic	chemical
weapons	weapon	weapon
watchdog	watchdog	watchdog
found	found	found
sarin	sarin	sarin
was	was	wa
used	use	used
in	in	in
a	a	a
March	march	March
attack	attack	attack
in	in	in
Syria	syria	Syria
on	on	on
an	an	an
opposition	opposit	opposition
-held	-held	-held
town	town	town
,	,	,
just	just	just
days	day	day
before	befor	before
the	the	the
banned	ban	banned
nerve	nerv	nerve
agent	agent	agent
killed	kill	killed
dozens	dozen	dozen
in	in	in
a	a	a
separate	separ	separate
attack	attack	attack
nearby	nearbi	nearby
,	,	,
sources	sourc	source
told	told	told
Reuters	reuter	Reuters
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
March	march	March
30	30	30
air	air	air
strike	strike	strike
in	in	in
the	the	the
northern	northern	northern
Syrian	syrian	Syrian
town	town	town
of	of	of
Latamneh	latamneh	Latamneh
injured	injur	injured
around	around	around
70	70	70
people	peopl	people
who	who	who
suffered	suffer	suffered
nausea	nausea	nausea
,	,	,
foaming	foam	foaming
at	at	at
the	the	the
mouth	mouth	mouth
and	and	and
muscle	muscl	muscle
spasms	spasm	spasm
.	.	.
Samples	sampl	Samples
analysis	analysi	analysis
results	result	result
show	show	show
clear	clear	clear
presence	presenc	presence
of	of	of
sarin	sarin	sarin
,	,	,
a	a	a
source	sourc	source
told	told	told
Reuters	reuter	Reuters
of	of	of
the	the	the
findings	find	finding
by	by	by
the	the	the
Organisation	organis	Organisation
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
OPCW	opcw	OPCW
.	.	.
The	the	The
report	report	report
by	by	by
the	the	the
OPCW	opcw	OPCW
Syria	syria	Syria
Fact	fact	Fact
Finding	find	Finding
Mission	mission	Mission
is	is	is
due	due	due
to	to	to
be	be	be
finalised	finalis	finalised
within	within	within
weeks	week	week
.	.	.
The	the	The
Fact	fact	Fact
Finding	find	Finding
Mission	mission	Mission
reported	report	reported
in	in	in
June	june	June
that	that	that
sarin	sarin	sarin
was	was	wa
used	use	used
in	in	in
an	an	an
April	april	April
4	4	4
attack	attack	attack
on	on	on
the	the	the
town	town	town
of	of	of
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
that	that	that
killed	kill	killed
dozens	dozen	dozen
of	of	of
people	peopl	people
and	and	and
prompted	prompt	prompted
the	the	the
United	unit	United
States	state	States
to	to	to
launch	launch	launch
missiles	missil	missile
on	on	on
a	a	a
Syrian	syrian	Syrian
air	air	air
base	base	base
.	.	.
Syria	syria	Syria
agreed	agre	agreed
to	to	to
destroy	destroy	destroy
its	it	it
chemical	chemic	chemical
weapons	weapon	weapon
in	in	in
2013	2013	2013
under	under	under
a	a	a
deal	deal	deal
brokered	broker	brokered
by	by	by
Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
repeatedly	repeat	repeatedly
