ISLAMABAD	islamabad	ISLAMABAD
Reuters	reuter	Reuters
-	-	-
A	a	A
Pakistani	pakistani	Pakistani
court	court	court
on	on	on
Friday	friday	Friday
delayed	delay	delayed
the	the	the
extradition	extradit	extradition
hearing	hear	hearing
of	of	of
a	a	a
Pakistani	pakistani	Pakistani
-American	-american	-American
man	man	man
accused	accus	accused
of	of	of
plotting	plot	plotting
attacks	attack	attack
in	in	in
New	new	New
York	york	York
City	citi	City
for	for	for
Islamic	islam	Islamic
State	state	State
without	without	without
fixing	fix	fixing
a	a	a
new	new	new
date	date	date
,	,	,
the	the	the
man	man	man
s	s	s
lawyer	lawyer	lawyer
said	said	said
.	.	.

Talha	talha	Talha
Haroon	haroon	Haroon
,	,	,
19	19	19
,	,	,
was	was	wa
arrested	arrest	arrested
in	in	in
Pakistan	pakistan	Pakistan
in	in	in
2016	2016	2016
after	after	after
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
identified	identifi	identified
him	him	him
as	as	a
one	one	one
of	of	of
three	three	three
men	men	men
,	,	,
along	along	along
with	with	with
a	a	a
Canadian	canadian	Canadian
citizen	citizen	citizen
and	and	and
a	a	a
man	man	man
from	from	from
the	the	the
Philippines	philippin	Philippines
,	,	,
planning	plan	planning
attacks	attack	attack
on	on	on
Manhattan	manhattan	Manhattan
s	s	s
Times	time	Times
Square	squar	Square
and	and	and
the	the	the
city	citi	city
s	s	s
subway	subway	subway
.	.	.

His	his	His
lawyer	lawyer	lawyer
and	and	and
family	famili	family
deny	deni	deny
the	the	the
charges	charg	charge
.	.	.

Haroon	haroon	Haroon
s	s	s
lawyer	lawyer	lawyer
termed	term	termed
the	the	the
investigation	investig	investigation
a	a	a
sting	sting	sting
operation	oper	operation
carried	carri	carried
out	out	out
by	by	by
an	an	an
investigating	investig	investigating
officer	offic	officer
motivated	motiv	motivated
by	by	by
career	career	career
advancement	advanc	advancement
.	.	.

The	the	The
FBI	fbi	FBI
projected	project	projected
this	this	this
as	as	a
a	a	a
high	high	high
-level	-level	-level
story	stori	story
,	,	,
but	but	but
these	these	these
people	peopl	people
don	don	don
t	t	t
have	have	have
the	the	the
qualifications	qualif	qualification
to	to	to
kill	kill	kill
a	a	a
monkey	monkey	monkey
,	,	,
said	said	said
the	the	the
lawyer	lawyer	lawyer
,	,	,
Idrees	idre	Idrees
Ashraf	ashraf	Ashraf
.	.	.

Ashraf	ashraf	Ashraf
said	said	said
his	his	his
client	client	client
was	was	wa
only	onli	only
in	in	in
contact	contact	contact
with	with	with
the	the	the
investigating	investig	investigating
officer	offic	officer
but	but	but
never	never	never
directly	direct	directly
spoke	spoke	spoke
with	with	with
the	the	the
co	co	co
-accused	-accus	-accused
,	,	,
raising	rais	raising
serious	serious	serious
doubts	doubt	doubt
about	about	about
the	the	the
nature	natur	nature
of	of	of
the	the	the
investigation	investig	investigation
.	.	.

According	accord	According
to	to	to
the	the	the
criminal	crimin	criminal
complaint	complaint	complaint
,	,	,
the	the	the
FBI	fbi	FBI
agent	agent	agent
communicated	communic	communicated
with	with	with
Talha	talha	Talha
online	onlin	online
,	,	,
and	and	and
has	has	ha
said	said	said
he	he	he
was	was	wa
active	activ	active
in	in	in
IS	is	IS
,	,	,
but	but	but
no	no	no
proof	proof	proof
of	of	of
militant	milit	militant
links	link	link
has	has	ha
been	been	been
provided	provid	provided
,	,	,
Ashraf	ashraf	Ashraf
added	ad	added
.	.	.

One	one	One
of	of	of
the	the	the
accused	accus	accused
men	men	men
,	,	,
19	19	19
-year-old	-year-old	-year-old
Canadian	canadian	Canadian
citizen	citizen	citizen
Abdulrahman	abdulrahman	Abdulrahman
El	el	El
Bahnasawy	bahnasawi	Bahnasawy
,	,	,
has	has	ha
been	been	been
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
custody	custodi	custody
since	sinc	since
May	may	May
2016	2016	2016
.	.	.

He	he	He
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
terrorism	terror	terrorism
charges	charg	charge
in	in	in
October	octob	October
2016	2016	2016
,	,	,
prosecutors	prosecutor	prosecutor
said	said	said
.	.	.

The	the	The
third	third	third
accused	accus	accused
,	,	,
37	37	37
-year	-year	-year
old	old	old
Russel	russel	Russel
Salic	salic	Salic
,	,	,
was	was	wa
arrested	arrest	arrested
in	in	in
the	the	the
Philippines	philippin	Philippines
in	in	in
April	april	April
,	,	,
according	accord	according
to	to	to
the	the	the
office	offic	office
of	of	of
Acting	act	Acting
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
Joon	joon	Joon
Kim	kim	Kim
.	.	.

Prosecutors	prosecutor	Prosecutors
say	say	say
Salic	salic	Salic
maintained	maintain	maintained
a	a	a
pro	pro	pro
-Islamic	-islam	-Islamic
State	state	State
social	social	social
media	media	medium
presence	presenc	presence
,	,	,
told	told	told
the	the	the
undercover	undercov	undercover
officer	offic	officer
he	he	he
had	had	had
been	been	been
communicating	communic	communicating
with	with	with
El	el	El
Bahnasawy	bahnasawi	Bahnasawy
,	,	,
and	and	and
sent	sent	sent
the	the	the
officer	offic	officer
about	about	about
423	423	423
from	from	from
the	the	the
Philippines	philippin	Philippines
to	to	to
help	help	help
pay	pay	pay
for	for	for
the	the	the
attacks	attack	attack
.	.	.

Haroon	haroon	Haroon
has	has	ha
been	been	been
in	in	in
custody	custodi	custody
for	for	for
more	more	more
than	than	than
a	a	a
year	year	year
without	without	without
being	be	being
charged	charg	charged
.	.	.

A	a	A
bail	bail	bail
plea	plea	plea
will	will	will
be	be	be
filed	file	filed
for	for	for
his	his	his
release	releas	release
at	at	at
the	the	the
hearing	hear	hearing
once	onc	once
a	a	a
date	date	date
is	is	is
set	set	set
,	,	,
his	his	his
attorney	attorney	attorney
said	said	said
.	.	.

He	he	He
was	was	wa
one	one	one
of	of	of
the	the	the
best	best	best
students	student	student
in	in	in
his	his	his
school	school	school
,	,	,
Haroon	haroon	Haroon
s	s	s
father	father	father
said	said	said
,	,	,
adding	ad	adding
that	that	that
Talha	talha	Talha
moved	move	moved
to	to	to
Pakistan	pakistan	Pakistan
in	in	in
2014	2014	2014
after	after	after
finishing	finish	finishing
high	high	high
school	school	school
.	.	.

He	he	He
is	is	is
naive	naiv	naive
and	and	and
speaks	speak	speaks
from	from	from
his	his	his
heart	heart	heart
,	,	,
Ashraf	ashraf	Ashraf
added	ad	added
.	.	.

He	he	He
is	is	is
not	not	not
the	the	the
sort	sort	sort
of	of	of
boy	boy	boy
who	who	who
can	can	can
commit	commit	commit
such	such	such
brutal	brutal	brutal
acts	act	act
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
said	said	said
they	they	they
expect	expect	expect
Haroon	haroon	Haroon
and	and	and
Salic	salic	Salic
to	to	to
be	be	be
extradited	extradit	extradited
to	to	to
face	face	face
the	the	the
charges	charg	charge
,	,	,
which	which	which
include	includ	include
conspiracy	conspiraci	conspiracy
to	to	to
commit	commit	commit
acts	act	act
of	of	of
terrorism	terror	terrorism
and	and	and
to	to	to
support	support	support
a	a	a
terrorist	terrorist	terrorist
organization	organ	organization
.	.	.

If	if	If
convicted	convict	convicted
of	of	of
the	the	the
most	most	most
serious	serious	serious
charges	charg	charge
,	,	,
they	they	they
face	face	face
a	a	a
maximum	maximum	maximum
sentence	sentenc	sentence
of	of	of
life	life	life
in	in	in
prison	prison	prison
.	.	.

