ALBANY	albani	ALBANY
,	,	,
N	n	N
.	.	.
Y	y	Y
.	.	.
Reuters	reuter	Reuters
-	-	-
Lawyers	lawyer	Lawyers
for	for	for
two	two	two
New	new	New
York	york	York
residents	resid	resident
seeking	seek	seeking
to	to	to
throw	throw	throw
Ted	ted	Ted
Cruz	cruz	Cruz
off	off	off
next	next	next
month	month	month
s	s	s
presidential	presidenti	presidential
primary	primari	primary
ballot	ballot	ballot
in	in	in
the	the	the
state	state	state
urged	urg	urged
an	an	an
Appeals	appeal	Appeals
Court	court	Court
panel	panel	panel
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
consider	consid	consider
whether	whether	whether
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
from	from	from
Texas	texa	Texas
is	is	is
eligible	elig	eligible
given	given	given
his	his	his
Canadian	canadian	Canadian
birth	birth	birth
.	.	.

The	the	The
case	case	case
put	put	put
forward	forward	forward
by	by	by
New	new	New
York	york	York
residents	resid	resident
Barry	barri	Barry
Korman	korman	Korman
,	,	,
81	81	81
,	,	,
of	of	of
Manhattan	manhattan	Manhattan
and	and	and
William	william	William
Gallo	gallo	Gallo
,	,	,
85	85	85
,	,	,
of	of	of
Manhasset	manhasset	Manhasset
,	,	,
had	had	had
been	been	been
dismissed	dismiss	dismissed
by	by	by
a	a	a
Supreme	suprem	Supreme
Court	court	Court
judge	judg	judge
earlier	earlier	earlier
this	this	this
month	month	month
because	becaus	because
it	it	it
was	was	wa
filed	file	filed
after	after	after
a	a	a
procedural	procedur	procedural
deadline	deadlin	deadline
.	.	.

Lawyers	lawyer	Lawyers
Roger	roger	Roger
Bernstein	bernstein	Bernstein
and	and	and
Judith	judith	Judith
Hancock	hancock	Hancock
urged	urg	urged
the	the	the
five	five	five
judges	judg	judge
of	of	of
the	the	the
Appellate	appel	Appellate
Division	divis	Division
of	of	of
New	new	New
York	york	York
to	to	to
consider	consid	consider
the	the	the
merits	merit	merit
of	of	of
their	their	their
case	case	case
to	to	to
block	block	block
Cruz	cruz	Cruz
from	from	from
the	the	the
April	april	April
19	19	19
New	new	New
York	york	York
state	state	state
primary	primari	primary
election	elect	election
.	.	.

The	the	The
objectors	objector	objector
attached	attach	attached
Cruz	cruz	Cruz
s	s	s
birth	birth	birth
certificate	certif	certificate
showing	show	showing
he	he	he
was	was	wa
born	born	born
in	in	in
December	decemb	December
1970	1970	1970
in	in	in
Calgary	calgari	Calgary
,	,	,
Alberta	alberta	Alberta
.	.	.

Bernstein	bernstein	Bernstein
told	told	told
the	the	the
panel	panel	panel
the	the	the
primary	primari	primary
ballot	ballot	ballot
must	must	must
only	onli	only
contain	contain	contain
constitutionally	constitut	constitutionally
eligible	elig	eligible
presidential	presidenti	presidential
candidates	candid	candidate
,	,	,
and	and	and
argued	argu	argued
the	the	the
appeals	appeal	appeal
judges	judg	judge
should	should	should
give	give	give
greater	greater	greater
weight	weight	weight
to	to	to
the	the	the
importance	import	importance
of	of	of
the	the	the
issue	issu	issue
than	than	than
the	the	the
missed	miss	missed
deadline	deadlin	deadline
.	.	.

Their	their	Their
petition	petit	petition
to	to	to
block	block	block
Cruz	cruz	Cruz
came	came	came
19	19	19
days	day	day
beyond	beyond	beyond
the	the	the
three	three	three
-day	-day	-day
limit	limit	limit
after	after	after
a	a	a
candidate	candid	candidate
files	file	file
a	a	a
request	request	request
to	to	to
be	be	be
placed	place	placed
on	on	on
the	the	the
ballot	ballot	ballot
,	,	,
Cruz	cruz	Cruz
s	s	s
lawyers	lawyer	lawyer
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
objection	object	objection
should	should	should
not	not	not
go	go	go
forward	forward	forward
because	becaus	because
it	it	it
was	was	wa
tardy	tardi	tardy
.	.	.

The	the	The
appeals	appeal	appeal
judges	judg	judge
are	are	are
expected	expect	expected
to	to	to
rule	rule	rule
later	later	later
this	this	this
week	week	week
.	.	.

The	the	The
case	case	case
is	is	is
one	one	one
of	of	of
several	sever	several
similar	similar	similar
challenges	challeng	challenge
to	to	to
Cruz	cruz	Cruz
s	s	s
eligibility	elig	eligibility
to	to	to
run	run	run
for	for	for
the	the	the
White	white	White
House	hous	House
-	-	-
including	includ	including
lawsuits	lawsuit	lawsuit
in	in	in
Alabama	alabama	Alabama
,	,	,
Illinois	illinoi	Illinois
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Texas	texa	Texas
-	-	-
filed	file	filed
since	sinc	since
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
brought	brought	brought
up	up	up
questions	question	question
about	about	about
whether	whether	whether
Cruz	cruz	Cruz
meets	meet	meet
the	the	the
constitutional	constitut	constitutional
requirement	requir	requirement
to	to	to
be	be	be
president	presid	president
.	.	.

The	the	The
Constitution	constitut	Constitution
says	say	say
that	that	that
to	to	to
be	be	be
president	presid	president
,	,	,
a	a	a
person	person	person
must	must	must
be	be	be
a	a	a
natural	natur	natural
-born	-born	-born
citizen	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

Cruz	cruz	Cruz
has	has	ha
argued	argu	argued
that	that	that
he	he	he
is	is	is
eligible	elig	eligible
to	to	to
run	run	run
because	becaus	because
of	of	of
his	his	his
mother	mother	mother
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
citizenship	citizenship	citizenship
,	,	,
and	and	and
many	mani	many
legal	legal	legal
experts	expert	expert
say	say	say
it	it	it
is	is	is
unlikely	unlik	unlikely
any	ani	any
judge	judg	judge
in	in	in
the	the	the
United	unit	United
States	state	States
would	would	would
block	block	block
his	his	his
presidential	presidenti	presidential
bid	bid	bid
.	.	.

The	the	The
lawyers	lawyer	lawyer
representing	repres	representing
the	the	the
New	new	New
York	york	York
objectors	objector	objector
are	are	are
also	also	also
representing	repres	representing
the	the	the
appeal	appeal	appeal
of	of	of
Carmon	carmon	Carmon
Elliott	elliott	Elliott
,	,	,
who	who	who
is	is	is
complaining	complain	complaining
about	about	about
Cruz	cruz	Cruz
being	be	being
on	on	on
the	the	the
ballot	ballot	ballot
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
.	.	.

